"col0","col1","col2"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty","Microsoft.Extensions.Caching.Memory.CacheExtensions.TryGetValue<List<LocalizedContentProperty>>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty","Microsoft.Extensions.Caching.Memory.CacheExtensions.Set<List<LocalizedContentProperty>>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty","System.Linq.Enumerable.FirstOrDefault<LocalizedContentProperty>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Infrastructure.Data.IRepositoryWithTypedId<SimplCommerce.Module.Catalog.Models.Category,System.Int64>.Query"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","System.Linq.Queryable.Where<Category>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","System.Linq.Enumerable.ToList<Category>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","System.Linq.Enumerable.Where<Category>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","System.Collections.Generic.List<SimplCommerce.Module.Catalog.Areas.Catalog.ViewModels.CategoryMenuItem>.Add"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","Microsoft.AspNetCore.Mvc.ViewComponent.View<List<CategoryMenuItem>>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty`1","System.Object.GetType"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.ViewModels.CategoryMenuItem.AddChildItem","System.Collections.Generic.ICollection<SimplCommerce.Module.Catalog.Areas.Catalog.ViewModels.CategoryMenuItem>.Add"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.Object.GetType"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.String.IsNullOrWhiteSpace"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.String.Split"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.String.Equals"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","Microsoft.AspNetCore.Mvc.ViewEngines.IViewEngine.GetView"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","Microsoft.AspNetCore.Http.IRequestCookieCollection.TryGetValue"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions.GetService<IConfiguration>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.Reflection.Assembly.GetName"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.Linq.Enumerable.Last<String>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions.GetRequiredService<ICompositeViewEngine>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedPropertiesFromDb","System.Linq.Queryable.Where<LocalizedContentProperty>"
